Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression2,,,,2022-12-21 16:18:42,2022-12-21 16:19:33,51.740s,PASSED
,,,,,,,
Test Cases/Auth/TC_login01,,,,2022-12-21 16:18:42,2022-12-21 16:18:49,7.561s,PASSED
"response = sendRequest(findTestObject(""AUTH/Login/Login with valid""), CONTINUE_ON_FAILURE)",,,,2022-12-21 16:18:42,2022-12-21 16:18:45,2.945s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2022-12-21 16:18:45,2022-12-21 16:18:45,0.012s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-12-21 16:18:45,2022-12-21 16:18:45,0.006s,PASSED
parsedJson = slurper.parseText(response.getResponseText()),,,,2022-12-21 16:18:45,2022-12-21 16:18:45,0.021s,PASSED
Token = access_token,,,,2022-12-21 16:18:45,2022-12-21 16:18:45,0.006s,PASSED
globalVar = Token,,,,2022-12-21 16:18:45,2022-12-21 16:18:45,0.001s,PASSED
"response = sendRequest(findTestObject(""AUTH/Login/login with invalid input""))",,,,2022-12-21 16:18:45,2022-12-21 16:18:46,0.459s,PASSED
"verifyResponseStatusCode(response, statusCode400)",,,,2022-12-21 16:18:46,2022-12-21 16:18:46,0.005s,PASSED
"response = sendRequest(findTestObject(""AUTH/Login/login with null email""))",,,,2022-12-21 16:18:46,2022-12-21 16:18:46,0.455s,PASSED
"verifyResponseStatusCode(response, StatusCode422)",,,,2022-12-21 16:18:46,2022-12-21 16:18:46,0.007s,PASSED
"response = sendRequest(findTestObject(""AUTH/Login/login with null input""))",,,,2022-12-21 16:18:46,2022-12-21 16:18:47,0.398s,PASSED
"verifyResponseStatusCode(response, StatusCode422)",,,,2022-12-21 16:18:47,2022-12-21 16:18:47,0.003s,PASSED
"response = sendRequest(findTestObject(""AUTH/Login/login with null password""))",,,,2022-12-21 16:18:47,2022-12-21 16:18:47,0.444s,PASSED
"verifyResponseStatusCode(response, StatusCode422)",,,,2022-12-21 16:18:47,2022-12-21 16:18:47,0.002s,PASSED
"response = sendRequest(findTestObject(""AUTH/Login/Login with invalid email""))",,,,2022-12-21 16:18:47,2022-12-21 16:18:48,0.448s,PASSED
"verifyResponseStatusCode(response, StatusCode422)",,,,2022-12-21 16:18:48,2022-12-21 16:18:48,0.003s,PASSED
"response = sendRequest(findTestObject(""AUTH/Login/Login with invalid password""))",,,,2022-12-21 16:18:48,2022-12-21 16:18:48,0.391s,PASSED
"verifyResponseStatusCode(response, StatusCode422)",,,,2022-12-21 16:18:48,2022-12-21 16:18:48,0.002s,PASSED
"response = sendRequest(findTestObject(""AUTH/Login/try with Get method""))",,,,2022-12-21 16:18:48,2022-12-21 16:18:48,0.466s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:18:48,2022-12-21 16:18:48,0.003s,PASSED
"response = sendRequest(findTestObject(""AUTH/Login/try with PUT method""))",,,,2022-12-21 16:18:48,2022-12-21 16:18:49,0.405s,PASSED
"verifyResponseStatusCode(response, statusCode405)",,,,2022-12-21 16:18:49,2022-12-21 16:18:49,0.008s,PASSED
"response = sendRequest(findTestObject(""AUTH/Login/tyr with PATCH method""))",,,,2022-12-21 16:18:49,2022-12-21 16:18:49,0.548s,PASSED
